;Date;Open;High;Low;Close;Adjusted_close;Volume
0;2020-12-01;1.4229;1.4241;1.3473;1.3678;1.3678;785600
1;2020-12-02;1.3654;1.4495;1.3318;1.4444;1.4444;418454
2;2020-12-03;1.4445;1.5171;1.4218;1.4958;1.4958;715110
3;2020-12-04;1.4931;1.6094;1.4854;1.56;1.56;1230059
4;2020-12-05;1.5446;1.6442;1.5075;1.5785;1.5785;1001807
5;2020-12-06;1.5782;1.5954;1.4867;1.4997;1.4997;685366
6;2020-12-07;1.5008;1.5074;1.3929;1.4223;1.4223;780439
7;2020-12-08;1.419;1.4355;1.3047;1.3273;1.3273;683671
8;2020-12-09;1.331;1.3996;1.3005;1.3768;1.3768;641569
9;2020-12-10;1.365;1.3693;1.2606;1.2653;1.2653;430483
10;2020-12-11;1.2611;1.2632;1.1614;1.1614;1.1614;449699
11;2020-12-12;1.162;1.2315;1.162;1.1911;1.1911;269772
12;2020-12-13;1.1929;1.2641;1.1717;1.2569;1.2569;421401
13;2020-12-14;1.257;1.2931;1.228;1.2574;1.2574;434363
14;2020-12-15;1.2588;1.3314;1.2588;1.3021;1.3021;375145
15;2020-12-16;1.2986;1.3116;1.2361;1.305;1.305;574259
16;2020-12-17;1.3087;1.3284;1.2574;1.2864;1.2864;691126
17;2020-12-18;1.2916;1.4726;1.2667;1.4705;1.4705;1511567
18;2020-12-19;1.4715;1.5159;1.4076;1.4432;1.4432;733764
19;2020-12-20;1.4438;1.4745;1.3991;1.4304;1.4304;339799
20;2020-12-21;1.4263;1.4396;1.3524;1.4217;1.4217;502440
21;2020-12-22;1.4215;1.8011;1.4143;1.5663;1.5663;7132464
22;2020-12-23;1.5674;1.5674;1.137;1.2368;1.2368;1730462
23;2020-12-24;1.2347;1.415;1.2115;1.3799;1.3799;756358
24;2020-12-25;1.3764;1.3964;1.2515;1.2762;1.2762;437033
25;2020-12-26;1.2757;1.4261;1.2633;1.4261;1.4261;799295
26;2020-12-27;1.45;1.6091;1.307;1.347;1.347;2048396
27;2020-12-28;1.3412;1.474;1.3299;1.4302;1.4302;1050596
28;2020-12-29;1.4281;1.4567;1.2331;1.2812;1.2812;803875
29;2020-12-30;1.281;1.3271;1.241;1.2661;1.2661;622955
30;2020-12-31;1.2668;1.3437;1.2365;1.2964;1.2964;401591
31;2021-01-01;1.2963;1.4231;1.2876;1.3609;1.3609;608451
32;2021-01-02;1.3603;1.399;1.2786;1.2906;1.2906;600362
33;2021-01-03;1.2925;1.352;1.2513;1.3207;1.3207;766542
34;2021-01-04;1.3171;1.4585;1.301;1.3644;1.3644;741294
35;2021-01-05;1.3676;1.4919;1.3314;1.4883;1.4883;829099
36;2021-01-06;1.4873;1.6281;1.3866;1.5017;1.5017;1807605
37;2021-01-07;1.5071;1.5174;1.3623;1.4076;1.4076;1412082
38;2021-01-08;1.4032;1.4479;1.2877;1.4317;1.4317;1078160
39;2021-01-09;1.4328;1.6173;1.4124;1.56;1.56;1871811
40;2021-01-10;1.5417;1.6209;1.3413;1.4658;1.4658;1816251
41;2021-01-11;1.4618;1.4618;1.1874;1.2705;1.2705;1350310
42;2021-01-12;1.2691;1.382;1.2523;1.3277;1.3277;835626
43;2021-01-13;1.3102;1.4187;1.271;1.4079;1.4079;737371
44;2021-01-14;1.4107;1.4387;1.3435;1.4356;1.4356;657072
45;2021-01-15;1.4359;1.5882;1.4105;1.5613;1.5613;1910145
46;2021-01-16;1.5675;1.7696;1.5249;1.542;1.542;2590778
47;2021-01-17;1.5361;1.7686;1.4107;1.722;1.722;3956022
48;2021-01-18;1.7155;1.8372;1.6447;1.7209;1.7209;2281055
49;2021-01-19;1.7267;1.9668;1.68;1.8536;1.8536;3115807
50;2021-01-20;1.8252;1.9054;1.6259;1.7537;1.7537;2137409
51;2021-01-21;1.7506;1.7594;1.467;1.4712;1.4712;1998962
52;2021-01-22;1.4691;1.6842;1.4056;1.616;1.616;1990771
53;2021-01-23;1.6219;1.8352;1.6038;1.8206;1.8206;2700899
54;2021-01-24;1.8234;1.8376;1.6812;1.7737;1.7737;1878085
55;2021-01-25;1.7771;2.1798;1.7747;2.1018;2.1018;8022528
56;2021-01-26;2.1063;2.2513;1.8903;2.0336;2.0336;4999368
57;2021-01-27;2.0367;2.1545;1.8384;2.0795;2.0795;3206940
58;2021-01-28;2.0806;2.5664;2.0406;2.495;2.495;7263740
59;2021-01-29;2.4852;2.4985;2.1041;2.3015;2.3015;4433232
60;2021-01-30;2.3065;2.375;2.1723;2.3458;2.3458;2460377
61;2021-01-31;2.3364;2.6006;2.2269;2.2507;2.2507;3408802
62;2021-02-01;2.2573;2.5552;2.1746;2.3655;2.3655;3257964
63;2021-02-02;2.3629;2.4652;2.2983;2.3494;2.3494;1824868
64;2021-02-03;2.3583;2.7082;2.3377;2.6368;2.6368;2818365
65;2021-02-04;2.6338;2.9187;2.4802;2.824;2.824;4825230
66;2021-02-05;2.7911;3.1476;2.7911;3.1476;3.1476;3748710
67;2021-02-06;3.1378;3.9736;2.7829;3.6711;3.6711;13053688
68;2021-02-07;3.6529;3.8559;3.1555;3.4053;3.4053;6752368
69;2021-02-08;3.4078;3.878;3.2082;3.721;3.721;5942794
70;2021-02-09;3.7145;4.1104;3.6;3.9721;3.9721;6206408
71;2021-02-10;3.943;4.1764;3.4735;3.6849;3.6849;6187081
72;2021-02-11;3.6954;4.2777;3.6088;4.0697;4.0697;6076480
73;2021-02-12;4.0951;4.7947;3.8771;4.589;4.589;9524921
74;2021-02-13;4.5892;4.77;4.1676;4.3828;4.3828;4574320
75;2021-02-14;4.3779;5.1489;4.1359;4.5938;4.5938;9574375
76;2021-02-15;4.6012;4.9178;3.7465;3.9356;3.9356;10078742
77;2021-02-16;3.9837;4.6865;3.8175;4.165;4.165;8795458
78;2021-02-17;4.1652;4.2498;3.8449;4.1011;4.1011;4910930
79;2021-02-18;4.0949;4.3095;3.9808;4.2136;4.2136;6197276
80;2021-02-19;4.196;4.67;4.0504;4.5727;4.5727;12542026
81;2021-02-20;4.5832;4.6007;3.9333;4.1183;4.1183;5286240
82;2021-02-21;4.123;4.3471;4.0469;4.2103;4.2103;2907880
83;2021-02-22;4.2062;4.2062;3.0045;3.6424;3.6424;5244308
84;2021-02-23;3.6282;3.6282;2.5953;3.2361;3.2361;7452490
85;2021-02-24;3.2714;3.6456;3.0717;3.6415;3.6415;4608198
86;2021-02-25;3.6385;4.2314;3.6221;3.6743;3.6743;5922956
87;2021-02-26;3.6605;4.1742;3.4333;3.9456;3.9456;6172356
88;2021-02-27;3.9498;4.1044;3.7952;3.8937;3.8937;2564028
89;2021-02-28;3.8563;4.336;3.6947;4.1755;4.1755;7775199
90;2021-03-01;4.1984;4.4083;4.0853;4.2073;4.2073;3594081
91;2021-03-02;4.2167;4.2687;3.9208;4.0549;4.0549;4278414
92;2021-03-03;4.0487;4.3106;4.0246;4.1919;4.1919;2776515
93;2021-03-04;4.1811;4.4366;4.0527;4.2368;4.2368;4148669
94;2021-03-05;4.2414;4.2414;3.8995;4.015;4.015;4258993
95;2021-03-06;4.0173;4.0986;3.898;4.0663;4.0663;1291812
96;2021-03-07;4.0831;4.3692;4.0831;4.2988;4.2988;3265793
97;2021-03-08;4.2893;4.6294;4.2298;4.5607;4.5607;5532010
98;2021-03-09;4.5603;4.9256;4.5111;4.7814;4.7814;4971612
99;2021-03-10;4.7809;6.5646;4.4328;6.5646;6.5646;24823390
100;2021-03-11;6.5285;7.8904;6.3493;6.3493;6.3493;49131635
101;2021-03-12;6.3431;6.4951;5.8593;5.9716;5.9716;15144274
102;2021-03-13;5.9635;7.1802;5.666;6.9658;6.9658;16735622
103;2021-03-14;6.9532;7.5868;6.5292;6.5292;6.5292;17562573
104;2021-03-15;6.5112;6.7833;6.0952;6.414;6.414;13805598
105;2021-03-16;6.463;7.8443;6.463;7.0743;7.0743;15536700
106;2021-03-17;7.0843;7.6896;6.6613;7.64;7.64;13677325
107;2021-03-18;7.6191;8.0471;7.0586;7.385;7.385;8489519
108;2021-03-19;7.5122;9.2758;7.1535;8.9405;8.9405;25667668
109;2021-03-20;8.9053;9.6608;8.3179;8.3353;8.3353;15122202
110;2021-03-21;8.338;9.7503;8.2545;9.5346;9.5346;12666945
111;2021-03-22;9.5677;9.9556;8.7799;8.8996;8.8996;14118380
112;2021-03-23;8.8376;9.2285;7.9758;8.0915;8.0915;11985941
113;2021-03-24;8.0308;8.6035;6.896;7.1045;7.1045;10715374
114;2021-03-25;7.0421;7.3403;6.5853;7.0992;7.0992;8577301
115;2021-03-26;7.0979;8.6828;7.0979;8.2958;8.2958;12259106
116;2021-03-27;8.2612;11.7817;8.0444;10.627;10.627;37738922
117;2021-03-28;10.5774;11.8891;9.8226;10.1493;10.1493;27510346
118;2021-03-29;10.1856;10.6907;9.8406;10.2974;10.2974;15059740
119;2021-03-30;10.2894;10.4799;9.917;10.047;10.047;8304045
120;2021-03-31;10.0422;10.801;9.1717;10.4872;10.4872;15645105
121;2021-04-01;10.4962;13.2273;10.3294;12.8009;12.8009;32899064
122;2021-04-02;12.923;14.967;12.6691;13.4865;13.4865;59870551
123;2021-04-03;13.5149;17.4036;13.4022;15.2968;15.2968;55066781
124;2021-04-04;15.2606;18.4801;15.2012;16.6274;16.6274;43773122
125;2021-04-05;16.6444;16.8037;15.5385;15.885;15.885;18713028
126;2021-04-06;15.8795;20.9899;15.2771;19.0785;19.0785;92106626
127;2021-04-07;19.0647;21.1945;16.6844;16.6844;16.6844;57208248
128;2021-04-08;16.6192;18.1726;16.5027;16.9558;16.9558;23657207
129;2021-04-09;16.8879;17.8457;16.2223;16.2223;16.2223;14975120
130;2021-04-10;16.2374;19.4344;15.3937;17.2571;17.2571;51789020
131;2021-04-11;17.2679;17.4384;16.1993;17.1439;17.1439;24710510
132;2021-04-12;17.0869;18.0277;16.0485;16.3095;16.3095;13088975
133;2021-04-13;16.2537;16.5073;15.5284;16.1465;16.1465;11900464
134;2021-04-14;16.1841;16.286;14.3035;15.3561;15.3561;18907859
135;2021-04-15;15.3247;15.9846;14.7576;15.4211;15.4211;13880870
136;2021-04-16;15.3998;15.7405;14.2325;15.2468;15.2468;13703738
137;2021-04-17;15.1541;15.8654;14.9352;15.8654;15.8654;10064917
138;2021-04-18;15.6855;16.8211;10.1594;16.0477;16.0477;48918377
139;2021-04-19;16.1848;16.3083;12.9805;13.1582;13.1582;24661347
140;2021-04-20;13.0899;13.8346;11.5595;13.0726;13.0726;23229544
141;2021-04-21;13.0446;13.518;11.8668;12.6244;12.6244;18118956
142;2021-04-22;12.6013;13.9296;11.9166;12.2046;12.2046;21395355
143;2021-04-23;12.126;14.5759;11.1446;14.1742;14.1742;35169232
144;2021-04-24;14.1835;14.3307;12.586;12.9274;12.9274;13296758
145;2021-04-25;12.8869;13.887;12.6713;13.4449;13.4449;8531507
146;2021-04-26;13.4862;15.2055;13.4285;15.1232;15.1232;15277981
147;2021-04-27;15.1059;17.9666;15.1003;17.8573;17.8573;24717540
148;2021-04-28;17.8146;18.8253;17.0918;17.3066;17.3066;22250282
149;2021-04-29;17.2458;17.4923;16.0058;16.6046;16.6046;12050767
150;2021-04-30;16.514;17.5885;16.2836;17.013;17.013;10267604
151;2021-05-01;17.0204;17.3491;16.3926;17.1069;17.1069;9233640
152;2021-05-02;17.0935;19.7266;16.5738;18.5415;18.5415;30826337
153;2021-05-03;18.4683;19.4752;18.1368;18.336;18.336;15881805
154;2021-05-04;18.2921;19.1441;16.6917;16.8767;16.8767;17541469
155;2021-05-05;16.8431;18.4511;16.838;18.2954;18.2954;15185833
156;2021-05-06;18.3744;19.2262;17.3912;17.5533;17.5533;15327657
157;2021-05-07;17.4503;18.5491;17.1562;17.5768;17.5768;9616359
158;2021-05-08;17.5932;18.4601;17.2716;17.2981;17.2981;10304977
159;2021-05-09;17.2351;17.3579;16.4748;16.8673;16.8673;11685990
160;2021-05-10;16.892;18.6816;15.8049;16.1262;16.1262;25345273
161;2021-05-11;16.155;17.215;15.8576;17.0781;17.0781;10148539
162;2021-05-12;17.0656;17.387;15.1544;15.1544;15.1544;8591329
163;2021-05-13;14.7166;16.8868;14.0189;15.0405;15.0405;16827166
164;2021-05-14;15.0495;15.9629;14.7029;15.6128;15.6128;11068413
165;2021-05-15;15.5853;15.7071;14.4509;14.4689;14.4689;7297141
166;2021-05-16;14.4924;15.461;13.4859;14.183;14.183;7737425
167;2021-05-17;14.2317;14.9043;12.8515;14.3255;14.3255;10069713
168;2021-05-18;14.3483;17.5668;14.344;16.6545;16.6545;29416412
169;2021-05-19;16.6847;16.9106;9.1647;12.4721;12.4721;29732678
170;2021-05-20;12.4017;13.6718;10.9384;13.3357;13.3357;16132822
171;2021-05-21;13.3777;16.5763;12.2354;13.8079;13.8079;33806761
172;2021-05-22;13.9586;13.9586;11.777;12.1644;12.1644;18926053
173;2021-05-23;12.1044;12.6517;8.5651;11.4376;11.4376;13581953
174;2021-05-24;11.4526;15.0102;11.4526;13.5595;13.5595;25588906
175;2021-05-25;13.5199;14.8517;12.6665;13.9315;13.9315;13763854
176;2021-05-26;13.9956;15.5168;13.9956;15.5168;15.5168;14312111
177;2021-05-27;15.5297;17.7952;13.9786;17.7952;17.7952;23800062
178;2021-05-28;17.9777;22.5548;15.0427;19.5308;19.5308;157440871
179;2021-05-29;19.4753;19.9978;15.179;16.1376;16.1376;73629050
180;2021-05-30;16.0954;17.3037;14.7749;15.5823;15.5823;38822761
181;2021-05-31;15.6152;16.4407;15.0416;16.1458;16.1458;25980829
182;2021-06-01;16.1431;16.5491;15.1277;15.1986;15.1986;17127677
183;2021-06-02;15.0675;16.1646;14.7707;15.6701;15.6701;20936674
184;2021-06-03;15.5972;15.9847;15.1034;15.5734;15.5734;20125649
185;2021-06-04;15.6079;15.6079;14.1431;14.8328;14.8328;17172734
186;2021-06-05;14.8293;15.0423;13.7601;13.9915;13.9915;9054232
187;2021-06-06;14.0916;14.8064;13.9528;14.6093;14.6093;5888415
188;2021-06-07;14.6077;14.6077;12.8223;12.8223;12.8223;11064313
189;2021-06-08;12.8401;14.6407;11.5011;13.9404;13.9404;28714848
190;2021-06-09;13.9499;15.0301;13.1104;13.782;13.782;23415585
191;2021-06-10;13.8101;14.1318;12.8993;13.1345;13.1345;10959364
192;2021-06-11;13.1332;13.8443;12.7414;13.3273;13.3273;9232936
193;2021-06-12;13.3693;13.3726;12.2188;12.4243;12.4243;9032413
194;2021-06-13;12.369;13.2505;12.308;13.2505;13.2505;5522145
195;2021-06-14;13.2934;13.7653;13.0722;13.3412;13.3412;9159671
196;2021-06-15;13.34;13.4254;13.3386;13.3874;13.3874;9167812
